iter	Passed	Remaining
403	9889	2349
404	9915	2325
405	9939	2301
406	9964	2276
407	9985	2251
408	10010	2227
409	10038	2203
410	10064	2179
411	10090	2155
412	10116	2131
413	10140	2106
414	10168	2082
415	10191	2057
416	10207	2031
417	10233	2007
418	10257	1982
419	10283	1958
420	10308	1934
421	10333	1909
422	10361	1886
423	10385	1861
424	10414	1837
425	10441	1813
426	10466	1789
427	10493	1765
428	10519	1741
429	10544	1716
430	10567	1691
431	10593	1667
432	10620	1643
433	10642	1618
434	10669	1594
435	10695	1570
436	10720	1545
437	10747	1521
438	10770	1496
439	10794	1471
440	10816	1447
441	10843	1422
442	10870	1398
443	10895	1374
444	10920	1349
445	10942	1324
446	10967	1300
447	10991	1275
448	11019	1251
449	11047	1227
450	11069	1202
451	11091	1177
452	11121	1153
453	11148	1129
454	11169	1104
455	11192	1079
456	11216	1055
457	11241	1030
458	11268	1006
459	11294	982
460	11322	957
461	11343	932
462	11366	908
463	11394	884
464	11417	859
465	11441	834
466	11463	810
467	11487	785
468	11511	760
469	11531	736
470	11562	711
471	11584	687
472	11607	662
473	11632	638
474	11656	613
475	11679	588
476	11702	564
477	11728	539
478	11750	515
479	11774	490
480	11797	466
481	11825	441
482	11851	417
483	11872	392
484	11899	368
485	11923	343
486	11947	318
487	11973	294
488	11996	269
489	12023	245
490	12045	220
491	12073	196
492	12101	171
493	12126	147
494	12149	122
495	12174	98
496	12198	73
497	12222	49
498	12248	24
499	12271	0
