iter	RMSE
349	76.97937293
350	76.94162753
351	76.91908141
352	76.88533569
353	76.87409515
354	76.85611122
355	76.80473774
356	76.79721357
357	76.76991241
358	76.74175679
359	76.72525283
360	76.70753103
361	76.7012887
362	76.69460009
363	76.68411876
364	76.64747573
365	76.63391674
366	76.61338
367	76.59445701
368	76.56482209
369	76.55759914
370	76.5333044
371	76.52694562
372	76.49174904
373	76.46238792
374	76.42888377
375	76.39545723
376	76.37734906
377	76.34799361
378	76.33160078
379	76.29405404
380	76.27885086
381	76.27245758
382	76.25833654
383	76.25231378
384	76.2455846
385	76.23903915
386	76.21724429
387	76.19558715
388	76.18043237
389	76.14565914
390	76.13032731
391	76.11582168
392	76.09094525
393	76.07745443
394	76.05234781
395	76.02102235
396	76.01375547
397	75.99247583
398	75.9764804
399	75.96087453
400	75.95191347
401	75.9196477
402	75.91200328
403	75.89361636
404	75.87463336
405	75.85115744
406	75.8283921
407	75.79963767
408	75.74903138
409	75.74324959
410	75.73554651
411	75.70630551
412	75.69080009
413	75.67092894
414	75.66712782
415	75.62903485
416	75.62166433
417	75.61603069
418	75.60613646
419	75.59904515
420	75.53852309
421	75.52528184
422	75.511874
423	75.46984121
424	75.46351848
425	75.4591786
426	75.45211889
427	75.42262859
428	75.41565104
429	75.40087233
430	75.39353283
431	75.37627767
432	75.34410566
433	75.3176082
434	75.28454182
435	75.27933572
436	75.27144716
437	75.2529193
438	75.22446236
439	75.21780787
440	75.20756648
441	75.18677991
442	75.1720001
443	75.15347358
444	75.1269035
445	75.10239464
446	75.08541261
447	75.07451003
448	75.05038776
449	75.03850813
450	75.01433053
451	74.98535858
452	74.96885991
453	74.94207516
454	74.93136545
455	74.91743975
456	74.91071509
457	74.90746325
458	74.89446089
459	74.8780483
460	74.86683698
461	74.86117966
462	74.85538632
463	74.83985138
464	74.82523369
465	74.82291256
466	74.80102964
467	74.77477705
468	74.73622442
469	74.70956375
470	74.68495687
471	74.67415851
472	74.66265831
473	74.63580144
474	74.62260171
475	74.61802535
476	74.60978612
477	74.59705501
478	74.55155267
479	74.54535125
480	74.52079506
481	74.48457795
482	74.47829279
483	74.46237032
484	74.43875658
485	74.42659518
486	74.40325697
487	74.36189391
488	74.36067335
489	74.34207969
490	74.32774649
491	74.31600838
492	74.31039813
493	74.26033815
494	74.24075274
495	74.22010379
496	74.2148169
497	74.20610098
498	74.20271307
499	74.17531181
